,Unnamed: 0,날짜,기사제목
400,10, 2021.08.04 07:56,"넷마블, '스핀엑스' 인수로 북미 공략 시너지 기대-삼성"
401,11, 2021.08.03 17:37,'스핀엑스' 인수한 넷마블…게임 다각화·안정적 수익 기대
402,12, 2021.08.03 11:32,"넷마블, 스핀엑스 인수...글로벌 매출 확대 기대"
403,13, 2021.08.03 09:12,"넷마블, 소셜 카지노 업체 인수에 4% 강세"
404,14, 2021.08.03 08:36,"NH증권 “넷마블, 스핀엑스 인수 등으로 글로벌 매출 확대 긍정적”"
405,15, 2021.08.03 08:29,"넷마블, 소셜 카지노 업체 2.5조원 인수 긍정적-NH"
406,16, 2021.08.03 08:25,"NH證 ""넷마블의 스핀엑스 인수, 장르 다각화 및 글로벌 매출 확대에..."
407,17, 2021.08.03 07:59,"넷마블, 스핀엑스 인수 글로벌 매출 확대에 긍정적-NH"
408,18, 2021.08.03 07:55,"[클릭 e종목]""넷마블, 스핀엑스 인수 글로벌 매출 확대에 긍정적"""
409,19, 2021.08.03 16:08,"넷마블, 2.5조 통큰 베팅…소셜카지노 '스핀엑스' 인수"
410,20, 2021.08.03 11:16,"[증시이슈] 넷마블, 세계 3위 카지노 게임회사 인수에 강세"
411,21, 2021.08.03 09:06,"넷마블, 세계 3위 소셜 카지노 업체 인수에 ‘급등’"
412,0, 2021.08.04 07:56,"넷마블, '스핀엑스' 인수로 북미 공략 시너지 기대-삼성"
413,1, 2021.08.03 17:37,'스핀엑스' 인수한 넷마블…게임 다각화·안정적 수익 기대
414,2, 2021.08.03 11:32,"넷마블, 스핀엑스 인수...글로벌 매출 확대 기대"
415,3, 2021.08.03 09:12,"넷마블, 소셜 카지노 업체 인수에 4% 강세"
416,4, 2021.08.03 08:36,"NH증권 “넷마블, 스핀엑스 인수 등으로 글로벌 매출 확대 긍정적”"
417,5, 2021.08.03 08:29,"넷마블, 소셜 카지노 업체 2.5조원 인수 긍정적-NH"
418,6, 2021.08.03 08:25,"NH證 ""넷마블의 스핀엑스 인수, 장르 다각화 및 글로벌 매출 확대에..."
419,7, 2021.08.03 07:59,"넷마블, 스핀엑스 인수 글로벌 매출 확대에 긍정적-NH"
420,8, 2021.08.03 07:55,"[클릭 e종목]""넷마블, 스핀엑스 인수 글로벌 매출 확대에 긍정적"""
421,9, 2021.08.03 16:08,"넷마블, 2.5조 통큰 베팅…소셜카지노 '스핀엑스' 인수"
422,10, 2021.08.03 11:16,"[증시이슈] 넷마블, 세계 3위 카지노 게임회사 인수에 강세"
423,11, 2021.08.03 09:06,"넷마블, 세계 3위 소셜 카지노 업체 인수에 ‘급등’"
424,12, 2021.08.03 09:44,"[특징주]넷마블, 스핀엑스 인수 소식에 강세"
425,13, 2021.08.03 09:34,"넷마블, 카지노 게임 업체 인수 소식에 4% 급등"
426,14, 2021.08.03 09:24,"[특징주] 넷마블, 세계 3위 소셜카지노 인수에 강세"
427,15, 2021.08.03 09:18,"넷마블, 세계 3위 소셜 카지노 게임사 인수 소식에 4%대 강세"
428,16, 2021.08.03 09:14,[특징주] 2.5조에 스핀엑스 인수한 '넷마블' 4%대 올라
429,17, 2021.08.03 09:12,"[특징주]넷마블, 스핀엑스 인수에 강세"
430,18, 2021.08.02 22:19,"방준혁, 2.5조 '베팅'··· 넷마블, 소셜 카지노 3위 스핀엑스 인..."
