,Unnamed: 0,날짜,기사제목
162,0, 2021.06.27 08:31,SKT 서빙로봇 시장 진출…4개 회사와 협업
163,1, 2021.06.24 16:02,"""6G 핵심기술 확보""··· ETRI, 삼성전자·SKT·카이스트 등 참..."
164,2, 2021.06.24 11:27,"[12회 퓨처ICT포럼] 이현아 SKT AI&CO장 ""누구, AI 에이..."
165,3, 2021.06.24 10:50,"""어르신도 디지털 역량 강화"" SK텔레콤, 디지털 사각지대 전담센터 문..."
166,4, 2021.06.24 10:14,"“정보화 격차 해소” SKT, 디지털 사각지대 전담센터 개소"
167,5, 2021.06.24 08:51,"SKT, 디지털 사각지대 전담센터 개소…ICT 교육 나서"
168,6, 2021.06.23 17:33,통신사-투자사 분할해 새 출범하는 SKT…5G 키우고 공격적 M&A
169,7, 2021.06.23 14:41,"[이데일리N] 대리운전, 중소기업 적합업종 신청…카카오·쏘카·SKT 긴..."
170,8, 2021.06.22 21:16,카카오 네이버 주가 '파죽지세'…SKT 신세계 CJ 남몰래 웃는다
171,9, 2021.06.22 12:04,"SK텔레콤, 1.6억 규모 자사주 처분"
172,10, 2021.06.21 14:11,JB금융·SK텔레콤·게임빌·HDC현대산업개발의 공통점은?
173,11, 2021.06.21 10:23,"SKT클라우드 마켓플레이스, '마이크로소프트365' 입점"
174,12, 2021.06.21 08:35,SKT 기업형 소프트웨어 장터에 마이크로소프트 입점
175,0, 2021.06.21 14:11,JB금융·SK텔레콤·게임빌·HDC현대산업개발의 공통점은?
176,1, 2021.06.21 10:23,"SKT클라우드 마켓플레이스, '마이크로소프트365' 입점"
177,2, 2021.06.21 08:35,SKT 기업형 소프트웨어 장터에 마이크로소프트 입점
178,3, 2021.06.21 06:51,"박정호 SK텔레콤 대표, 뉴 ICT·초협력 양날개로 불확실성 돌파"
179,4, 2021.06.21 05:40,"카카오 주식으로 대박 난 SK텔레콤, 3000억이 1.7조 됐다"
180,5, 2021.06.20 14:05,SKT 보유 카카오 지분 3천억→1.7조...'팔 건 아니지만' 표정관...
181,6, 2021.06.18 08:15,"[17일 주요 크레딧 공시]무디스, SK텔레콤 ‘안정적’ 상향 外"
182,7, 2021.06.17 18:19,"통신 대장주 격돌… SKT vs KT, 반등랠리 누가 더 셀까"
183,8, 2021.06.17 14:03,[단독] “비싸! 안 터져! 5G 보상해” SK텔레콤 첫 소송 붙는다 ...
184,9, 2021.06.17 14:00,"SKT-광주시-IDQ, 양자정보통신 생태계 구축 '맞손'"
185,10, 2021.06.17 14:00,"‘빛고을’ 光州, 양자산업 메카로..광주시-SKT-IDQ, 협력"
186,11, 2021.06.17 10:11,"SKT, 마포 핫플 '잼플레이스'에서 ‘꿀잼스쿨’ 연다"
187,12, 2021.06.17 08:53,"SKT, “‘잼플레이스’에서 영어 배워요”"
188,0, 2021.06.17 14:00,"‘빛고을’ 光州, 양자산업 메카로..광주시-SKT-IDQ, 협력"
189,1, 2021.06.17 10:11,"SKT, 마포 핫플 '잼플레이스'에서 ‘꿀잼스쿨’ 연다"
190,2, 2021.06.17 08:53,"SKT, “‘잼플레이스’에서 영어 배워요”"
191,3, 2021.06.16 18:13,'몸값 5兆'로 시작했지만···카카오·SKT 등 불참에 흥행 실패
192,4, 2021.06.16 16:28,"[단독] SKT ""롯데·홈플러스와 이커머스 협력 방안 열어두고 논의할 ..."
193,5, 2021.06.16 15:46,"SK텔레콤, 장애인 이동권 확대 사업에 적극 참여"
194,6, 2021.06.16 09:31,“교통약자 출퇴근 돕는다”…SKT- 쿠팡 ‘착한셔틀 얼라이언스’ 결성
195,7, 2021.06.16 10:51,"인적분할에 기관은 SK, 외국인은 SK텔레콤 택했다"
196,8, 2021.06.16 09:58,"쿠팡, SKT와 장애인 출퇴근 지원 ‘착한셔틀’ 동참"
197,9, 2021.06.16 08:53,"KT, SKT보다 주가 상승 폭 더 클 듯 ""모든 면서 압도""-하나금투"
198,10, 2021.06.15 13:07,"SKT,양자보안 적용된 ‘생체인증 카드키’ 세계 첫 출시"
199,11, 2021.06.15 08:47,"SKT, 양자보안 적용된 ‘생체인증 카드키’ 출시"
200,12, 2021.06.15 11:30,"[SKT신설투자 로드맵]박정호 ""국내외 안가리고 M&A 검토""…반도체 ..."
201,13, 2021.06.15 11:30,[SKT신설투자 로드맵]3년간 반도체·ICT 5조원 투자…순자산가치 ...
202,14, 2021.06.15 10:52,"SKT투자 이끄는 박정호 ""2025년 기업가치 75조로 3배 성장"""
203,15, 2021.06.15 08:16,"박정호 ""국내외 안가리고 M&A 검토""…SKT신설투자, 3년간 5조 ..."
204,0, 2022.01.21 16:06,"우리넷, SKT 차세대 양자암호 연동 전송 장비 핵심기능 ‘전송암호모듈..."
205,1, 2022.01.21 15:30,"우리넷, SKT 차세대 양자암호 핵심 기능 개발···""국정원 인증"""
206,2, 2022.01.21 15:03,"우리넷, SKT와 개발한 전송암호화모듈 국가정보원 인증"
207,3, 2022.01.21 13:27,"우리넷, SKT 차세대 양자암호 핵심 '전송암호모듈' 개발…국내 최초..."
208,4, 2022.01.21 14:16,"유영상 SKT 대표 ""5G 20㎒ 추가할당 공정하게 돼야"""
209,5, 2022.01.21 08:30,"SK텔레콤, 230억 규모 자사주 처분 결정…상여 지급"
210,6, 2022.01.21 08:01,"SK텔레콤, 자사주 230억 규모 처분 결정"
211,7, 2022.01.21 07:58,"SKT, 230억원 규모 자사주 처분 결정"
212,8, 2022.01.20 10:36,"격화되는 5G 주파수 갈등..SKT·KT ""수도권 제한"" LGU ""이용..."
213,9, 2022.01.20 10:29,"SK스토아, SKT 구독 플랫폼 'T 우주' 입점"
214,10, 2022.01.20 08:52,"SK스토아, SK텔레콤 'T우주'와 제휴…매달 20% 할인"
215,11, 2022.01.20 09:33,"SKT, 하나카드 마이데이터에 클라우드 솔루션 '타코' 적용"
216,12, 2022.01.19 18:11,"MS 블리자드 인수, SKT 클라우드 게임 서비스에 호재 될까"
217,13, 2022.01.19 10:01,"SKT·퓨리오사, AI 반도체 개척 탄력받는다…정부 4천억 추가 투입"
218,14, 2022.01.19 07:47,"[클릭 e종목] ""일회성 성과급에…SK텔레콤, 4Q 영업익 전년比 53..."
219,0, 2021.06.15 13:07,"SKT,양자보안 적용된 ‘생체인증 카드키’ 세계 첫 출시"
220,1, 2021.06.15 08:47,"SKT, 양자보안 적용된 ‘생체인증 카드키’ 출시"
221,2, 2021.06.15 11:30,"[SKT신설투자 로드맵]박정호 ""국내외 안가리고 M&A 검토""…반도체 ..."
222,3, 2021.06.15 11:30,[SKT신설투자 로드맵]3년간 반도체·ICT 5조원 투자…순자산가치 ...
223,4, 2021.06.15 10:52,"SKT투자 이끄는 박정호 ""2025년 기업가치 75조로 3배 성장"""
224,5, 2021.06.15 08:16,"박정호 ""국내외 안가리고 M&A 검토""…SKT신설투자, 3년간 5조 ..."
